x	y	hex	rgb
1170	428	#BEF2FE	rgb(190,242,254)
1399	416	#9DEAFD	rgb(157,234,253)
1618	434	#7DE2FB	rgb(125,226,251)
1856	438	#5ADDFC	rgb(90,221,252)
2053	431	#3DD7FA	rgb(61,215,250)
2198	476	#1FD1FA	rgb(31,209,250)
1201	851	#7AE2FC	rgb(122,226,252)
1644	846	#38D2F5	rgb(56,210,245)
2254	870	#03CBF9	rgb(3,203,249)
2249	1070	#03CBF9	rgb(3,203,249)
2245	1175	#03CBF9	rgb(3,203,249)
1989	1161	#03CBF9	rgb(3,203,249)
1789	1156	#03CBF9	rgb(3,203,249)
1245	1139	#44D9FA	rgb(68,217,250)
1007	1176	#61E0FC	rgb(97,224,252)
